date,source,quantile,timeout,server,circlen,fp1,fp2,fpn,cw1,cw2,cwn,bt1,bt2,btn,start2req,req2fb
2020-05-11,op-nl2,0.8,1500,onion,3,8623F7E1,303509AB,47A83EC4,35500,64000,24300,80,90,200,3000,340
2020-05-11,op-nl2,0.8,1500,public,3,25E078CD,7DE1E8CF,B0430D21,34000,27800,191000,120,40,60,130,60
2020-05-11,op-nl2,0.8,1500,public,3,937F201D,47A83EC4,74A19D86,17700,24300,28000,520,200,230,290,240
2020-05-11,op-nl2,0.8,1500,onion,3,55B5A9DB,3EEEB702,648E9771,9790,38200,36200,580,250,290,4500,510
2020-05-11,op-nl2,0.8,1500,onion,3,ABAE955D,9388D224,C2E3E1A7,70000,23200,48400,130,50,60,4000,340
2020-05-11,op-nl2,0.8,1500,onion,3,8BE79CE3,AC330D98,885CFB69,88000,31000,18000,70,50,70,1680,190
2020-05-11,op-nl2,0.8,1500,onion,3,03910F28,968CB7DA,C128855A,126000,50500,9710,70,50,70,2030,170
2020-05-11,op-nl2,0.8,1500,onion,3,D907BCD0,CC1BDE73,9D9CE9DB,31000,7960,53000,70,50,100,5220,190
2020-05-11,op-nl2,0.8,1500,public,3,5CE81F53,0869EA50,95C6C5F6,21200,3500,17400,90,80,130,150,130
2020-05-11,op-nl2,0.8,1500,onion,3,CE34F2DA,708A968F,7F5D5A72,15000,117000,2890,120,70,150,2910,220
2020-05-11,op-nl2,0.8,1500,onion,3,18671DE5,088A6237,32A43B0C,63200,101000,8420,130,80,320,2410,250
2020-05-11,op-nl2,0.8,1500,public,3,D9D05A8A,22775B95,928C4709,69000,93000,56600,80,20,130,210,210
2020-05-11,op-nl2,0.8,1500,onion,3,7B7BE656,4B351545,AEF6C1FB,9070,42000,51000,170,100,110,2410,230
2020-05-11,op-nl2,0.8,1500,onion,3,906933A3,98E793DE,09A70E39,9060,10600,91100,50,60,60,2690,170
2020-05-11,op-nl2,0.8,1500,onion,3,CDC4E266,1B91B86B,2F77315C,6260,25700,7650,520,130,320,3820,380
2020-05-11,op-nl2,0.8,1500,onion,3,5EA7CDEA,F1C8901A,9EB3FD84,20000,3990,92700,170,90,90,6150,290
2020-05-11,op-nl2,0.8,1500,public,3,5CF342DB,C63110BD,763B7D67,22600,106000,52600,150,110,110,140,250
2020-05-11,op-nl2,0.8,1500,onion,3,F6740DEA,2F26D432,EFCCA585,92800,21000,30600,80,60,90,18200,240
2020-05-11,op-nl2,0.8,1500,public,3,D079D681,66DFC51E,EC1997D5,79000,18900,62700,60,50,110,100,100
2020-05-11,op-nl2,0.8,1500,onion,3,ECB24A32,9348E927,4B9AAFCE,12200,13500,15000,540,130,220,3210,370
2020-05-11,op-nl2,0.8,1500,onion,3,6FF440DF,98138DFD,AC5CECEF,79900,44600,33000,80,40,90,3070,230
2020-05-11,op-nl2,0.8,1500,public,3,6974910E,24A17A4C,056993AC,16000,21000,53800,140,70,160,120,190
2020-05-11,op-nl2,0.8,1500,onion,3,72270EB5,970F0966,5C8B8118,7700,22000,29300,120,90,150,15670,260
2020-05-11,op-nl2,0.8,1500,onion,3,270934A4,18B160CD,4E98AA29,26900,57000,73300,110,80,140,3520,320
2020-05-11,op-nl2,0.8,1500,onion,3,4DB0490A,AF2C7A11,C87A4D8B,16200,14000,5800,130,50,220,24020,610
2020-05-11,op-nl2,0.8,1500,onion,3,9EFF16EA,3E04505D,92BBADCB,18100,74200,48000,440,190,210,10030,540
2020-05-11,op-nl2,0.8,1500,public,3,BBBBBAD4,8C5B316E,853D312A,3580,73000,4900,210,70,100,120,170
2020-05-11,op-nl2,0.8,1500,public,3,7A3E534C,A44BD55F,46F9FB94,190000,57100,58000,80,60,110,90,120
2020-05-11,op-nl2,0.8,1500,onion,3,D08660B6,A3AFBDEE,BF4114C3,65000,78100,17300,80,100,150,2530,370
2020-05-11,op-nl2,0.8,1500,onion,3,7674C383,A50EDE9B,F0F5074A,54000,86800,38300,60,70,100,6030,220
2020-05-11,op-nl2,0.8,1500,onion,3,A3AFBDEE,799B6701,8561FA7D,78100,15900,3120,90,90,110,3390,340
2020-05-11,op-nl2,0.8,1500,onion,3,5E4D1E6D,53134D96,0B555940,13400,26000,84000,200,180,110,9150,330
2020-05-11,op-nl2,0.8,1500,onion,3,2CE9BE1F,8663544D,5C218453,97100,98300,4710,60,80,130,3390,270
2020-05-11,op-nl2,0.8,1500,public,3,F741E512,C9B34ABF,FBB3ADBF,29800,71800,25200,80,60,120,130,80
2020-05-11,op-nl2,0.8,1500,public,3,3B9C550F,AF475359,7EC42C80,12000,2790,51600,160,70,260,940,120
2020-05-11,op-nl2,0.8,1500,onion,3,E8BAE739,A99B0D9E,461D6EA1,97000,101000,65300,160,50,90,6780,250
2020-05-11,op-nl2,0.8,1500,onion,3,60F2139E,F8DE8132,EAEFC00F,25900,157000,824,690,220,310,7400,490
2020-05-11,op-nl2,0.8,1500,onion,3,B5506D8E,4F990239,63540827,59000,17000,160000,140,80,150,5140,960
2020-05-11,op-nl2,0.8,1500,onion,3,395D2932,34B84952,A55E513A,97000,11300,99100,60,120,180,2870,280
2020-05-11,op-nl2,0.8,1500,public,3,D6F03EFB,547E6E68,D49677C4,19900,18200,40000,120,60,80,80,190
2020-05-11,op-nl2,0.8,1500,public,3,13557448,98138DFD,42EB556E,100000,45200,19200,80,50,100,80,270
2020-05-11,op-nl2,0.8,1500,onion,3,C0E6A667,0C8A49FE,D0354E2C,15000,22700,4160,310,130,190,9510,380
2020-05-11,op-nl2,0.8,1500,public,3,8C00FA73,D303A904,DE764FB4,38400,32000,13300,290,600,160,240,250
2020-05-11,op-nl2,,,public,null,,,,,,,,,,330,320
2020-05-11,op-nl2,0.8,1500,onion,3,0540D870,29A39144,3E04505D,25000,40800,74800,20,40,60,3050,400
2020-05-11,op-nl2,,,public,3,221546DA,0ED0EA32,4A12B58D,80000,61600,12500,90,60,150,430,230
2020-05-11,op-nl2,0.8,1500,onion,3,537DFC20,BF735F66,482C06FE,4900,18200,8910,110,1060,100,5710,400
2020-05-11,op-nl2,0.8,1500,onion,3,AF1FC704,B0F17A56,13F80E64,21000,11800,21800,100,50,280,2510,230
2020-05-11,op-nl2,0.8,1500,onion,3,ADD35A22,E809D990,C49A1775,17000,46500,43100,150,50,590,3580,270
2020-05-11,op-nl2,0.8,1500,onion,3,1733D57A,58FC2AAB,0B555940,13100,19000,58300,440,210,270,3310,460
2020-05-11,op-nl2,0.8,1500,public,3,D3BE0C4F,A44BD55F,D4991BF1,4200,39000,8690,960,300,360,380,450
2020-05-11,op-nl2,0.8,1500,onion,3,0EFF1855,6DFEB41C,5665A390,39500,57000,23400,90,60,120,2060,250
2020-05-11,op-nl2,0.8,1500,public,3,F6740DEA,981A40C9,E4D1F25D,95900,12700,29600,90,70,180,590,530
2020-05-11,op-nl2,0.8,1500,onion,3,656C4256,43C83536,16909760,39400,97000,8270,110,50,110,3480,860
2020-05-11,op-nl2,0.8,1500,public,3,B0A63BC3,C239952D,C93646CA,13800,48800,16100,70,40,140,220,250
2020-05-11,op-nl2,0.8,1500,onion,3,9CBD63FC,D965855F,76D2EBA8,28100,19000,59000,210,90,120,2530,250
2020-05-11,op-nl2,0.8,1500,onion,3,1079E628,BBD6DD01,5EA7CDEA,37700,11000,20400,80,90,130,6380,260
2020-05-11,op-nl2,0.8,1500,onion,3,B86BE002,13F80E64,768B488A,31500,21700,18000,40,30,60,1950,180
2020-05-11,op-nl2,0.8,1500,onion,3,2CD317C6,3E53D397,03E0F4EE,4290,64000,16900,280,110,160,2420,270
2020-05-11,op-nl2,0.8,1500,onion,3,CD0EEE12,D5C6F62A,2CE9BE1F,11300,70000,91700,50,40,60,2580,160
2020-05-11,op-nl2,0.8,1500,public,3,2D47F039,51CD9DB0,7761DDC7,2540,3480,27900,140,400,230,1320,670
2020-05-11,op-nl2,0.8,1500,onion,3,99774357,53134D96,DBE82FA2,29000,35000,115000,90,30,80,1740,180
2020-05-11,op-nl2,0.8,1500,onion,3,BE9B12FA,BFA905EA,D777D31F,93100,48800,67100,160,50,90,2300,190
2020-05-11,op-nl2,0.8,1500,public,3,DF81D831,A08B3E65,10841529,6400,69200,60000,750,360,320,340,12790
2020-05-11,op-nl2,0.8,1500,onion,3,B1490646,890F32B8,F0F5074A,17000,260,39000,540,270,880,5650,610
2020-05-11,op-nl2,0.8,1500,public,3,F1A7CE1B,B568135C,C0E7334A,23400,21000,36000,30,80,110,110,100
2020-05-11,op-nl2,0.8,1500,onion,3,AA8B7237,06698E4E,5043E5D2,37500,11700,19000,100,110,240,3620,670
2020-05-11,op-nl2,0.8,1500,onion,3,395D2932,E6E50A68,4B167581,97500,4800,17000,70,190,350,18960,470
2020-05-11,op-nl2,0.8,1500,onion,3,CB72A74E,6530C1F5,A50EDE9B,16800,9260,89400,130,70,90,3430,220
2020-05-11,op-nl2,0.8,1500,onion,3,844AE9CA,E459E023,5FD0ECB8,32000,21000,9130,30,70,110,3500,440
2020-05-11,op-nl2,0.8,1500,onion,3,327F5823,EB6EFB27,0C6D3655,52900,13200,54900,60,30,60,3330,200
2020-05-11,op-nl2,0.8,1500,onion,3,D8A2D008,842B1F6C,568DC66F,81800,36300,84000,70,70,330,4730,380
2020-05-11,op-nl2,0.8,1500,onion,3,B96B5141,E81993EA,96070698,63000,123000,11300,70,60,90,20070,250
2020-05-11,op-nl2,0.8,1500,public,3,288C100F,1AAD015F,FF1ED9A1,87000,16100,62500,100,50,150,210,90
2020-05-11,op-nl2,0.8,1500,onion,3,FD449127,9715C81B,D5A2B3AE,79900,16000,10900,30,130,220,4860,770
2020-05-11,op-nl2,0.8,1500,public,3,DF860989,B6E0AADF,30E747B3,14300,1600,33900,80,200,400,420,420
2020-05-11,op-nl2,0.8,1500,onion,3,D10B9112,10E1CA7A,6E33D410,10000,8360,94900,210,190,120,2160,300
2020-05-11,op-nl2,0.8,1500,onion,3,F7B024DB,7F138EE1,E8EA53FB,36900,17000,2300,80,60,90,2340,210
2020-05-11,op-nl2,0.8,1500,onion,3,7A6873B8,0B856172,9AB93B54,16600,46000,107000,40,200,90,2330,240
2020-05-11,op-nl2,0.8,1500,onion,3,72B2B12A,FEDE3133,762EC1CF,26000,47000,17000,70,70,120,2820,190
2020-05-11,op-nl2,0.8,1500,public,3,AE95BDA3,34979DBD,BE7DBBC5,150000,50400,20000,70,40,70,70,170
